variant,Year,Trt_code,Treatment,Date,dap,gdd_cum,z_root_m,canopy_cover_frac,biomass_t_ha,dry_yield_t_ha,Es_mm,Tr_mm,DeepPerc_mm,IrrDay_mm,SWD_AquaCrop_mm,Canopy_obs
default_maize,2013,10,65/40,2013-06-25,42.0,445.30299999999994,0.9055384139650032,0.7369346399164446,325.3971777392611,0.0,0.02790114453462679,5.773121863375591,0.0,0.0,55.262193728304624,30.6125
default_maize,2013,10,65/40,2013-06-27,44.0,474.05299999999994,0.932816796307215,0.7855443801324428,388.05769108032604,0.0,1.1449995331157705,7.914734647066561,0.0,0.0,59.588914770589916,37.145
default_maize,2013,10,65/40,2013-07-02,49.0,540.3679999999999,0.9997138505472563,0.8409324917830917,548.2375521894947,0.0,0.5984165110776044,6.177246428854133,0.0,0.0,79.63251356648031,51.9025
default_maize,2013,10,65/40,2013-07-09,56.0,638.3279999999999,1.0905313353427135,0.8799559305389795,765.5488656402348,0.0,0.04202594528196349,5.082789381679273,0.0,0.0,99.01485363224283,54.12
default_maize,2013,10,65/40,2013-07-11,58.0,666.2129999999999,1.1159079679329558,0.9005874895802356,833.9893476522519,0.0,0.40192973810165794,8.490199264187655,0.0,0.0,89.56508246664548,75.05000000000001
default_maize,2013,10,65/40,2013-07-16,63.0,736.2929999999999,1.1786290603092509,0.9301656926570594,1006.9977623922476,0.0,0.19892990889822207,7.61835402435535,0.0,0.0,86.13242001017971,84.2175
default_maize,2013,10,65/40,2013-07-18,65.0,765.0529999999999,1.2033758145417208,0.9336880803213963,1076.1305747732572,0.0,0.14193434302969815,5.9810234693192745,0.0,0.0,97.02309339168002,80.79249999999999
default_maize,2013,10,65/40,2013-07-25,72.0,857.3679999999998,1.2885777955338507,0.9400257678787295,1313.332774720359,0.24509424112797443,0.05532122888080904,2.7474567890602835,0.0,0.0,97.47101582080823,86.7475
default_maize,2013,10,65/40,2013-07-30,77.0,913.9979999999998,1.3482209062586419,0.9400257678787295,1472.1655353438773,0.5017541688172585,0.10472534673929107,5.266984498182162,0.0,0.0,61.891483832603384,84.2675
default_maize,2013,10,65/40,2013-08-02,80.0,955.1329999999998,1.3835586578838461,0.9400257678787295,1572.2028204325313,0.7595891451433535,0.11891633838862868,5.930059830044363,0.0,30.4,47.63181249832533,84.29249999999999
default_maize,2013,10,65/40,2013-08-13,91.0,1089.558,1.5105305249686434,0.9400257678787295,1924.1850505563857,2.683942285969055,0.08164994329233705,3.795274579444426,0.0,0.0,29.178789879814335,83.875
default_maize,2013,10,65/40,2013-08-15,93.0,1111.578,1.5332111634249341,0.9400257678787295,1985.8182643701607,3.1397680240866994,0.09504116996036682,4.3774124177410085,0.0,0.0,37.72465279634335,82.42
default_maize,2013,10,65/40,2013-08-20,98.0,1176.4379999999996,1.5894118895315068,0.9400257678787295,2144.5023761675716,4.389200704543487,0.055046944134735286,5.031760614493955,0.0,0.0,61.93573082916933,80.88666666666667
default_maize,2013,10,65/40,2013-08-22,100.0,1205.9279999999994,1.611699675865865,0.9400257678787295,2207.313516453763,4.928874116036831,0.07768835305143088,3.6535832102029797,0.0,0.0,49.564982014118335,85.42
default_maize,2013,10,65/40,2013-08-29,107.0,1305.1229999999996,1.6888906601996276,0.9400257678787295,2424.1712375079505,6.993393501260228,0.11243823337334632,5.176109666917784,0.0,0.0,69.66159273503864,79.16499999999999
default_maize,2013,10,65/40,2013-09-04,113.0,1390.6479999999997,1.699818453564734,0.8905889205989116,2598.3710008946036,8.947805769752325,0.06204592078913452,3.4822105062731423,0.0,0.0,92.72497699610851,60.76
default_maize,2013,10,65/40,2013-09-20,129.0,1566.9734999999998,1.699818453564734,0.33145627660503446,2861.975089042496,13.853482483953721,0.8301745306017994,0.2614386710707838,0.0,0.0,52.43970941784985,28.71
default_maize,2013,11,50/50,2013-06-18,35.0,349.193,0.8073556073605817,0.38458289070786494,138.8951678213978,0.0,0.1526527807582073,3.6396968255761437,0.0,0.0,32.41852694929543,16.1725
default_maize,2013,11,50/50,2013-06-25,42.0,445.30299999999994,0.9055384139650032,0.731842469761628,323.5291951639207,0.0,0.03870259438899702,5.747480113066057,0.0,0.0,56.27703642893945,28.432499999999997
default_maize,2013,11,50/50,2013-06-27,44.0,474.05299999999994,0.932816796307215,0.7588814615082802,385.04799158073894,0.0,0.04368884874584211,7.743817054829638,0.0,0.0,70.52196412913106,27.525000000000002
default_maize,2013,11,50/50,2013-07-02,49.0,540.3679999999999,0.9996464317405998,0.8087128236614989,532.9228552665012,0.0,0.7582474252015082,6.029167414065422,0.0,0.0,85.95813456864813,44.065
default_maize,2013,11,50/50,2013-07-09,56.0,638.3279999999999,1.0901488718275472,0.8373948136107674,720.2524929515931,0.0,0.024737681102628382,4.083774209608917,0.0,0.0,104.279057600881,47.35
default_maize,2013,11,50/50,2013-07-11,58.0,666.2129999999999,1.115393235067482,0.8689875753713723,787.0832253989533,0.0,0.5957826360662348,8.30657136518381,0.0,0.0,101.04898755019951,67.8375
default_maize,2013,11,50/50,2013-07-16,63.0,736.2929999999999,1.178114327443777,0.914297628071723,957.6730021161256,0.0,0.28363876516344855,7.540348109484704,0.0,0.0,100.74293730486023,81.0325
default_maize,2013,11,50/50,2013-07-18,65.0,765.0529999999999,1.202861081676247,0.9191116220978498,1026.15732516238,0.0,0.20308292719119378,5.925531751038152,0.0,0.0,111.64605999256152,72.4
default_maize,2013,11,50/50,2013-07-25,72.0,857.3679999999998,1.2868412677120693,0.9021377486085073,1201.235092719671,0.22194336439402818,0.13168149012627192,2.6321158929478927,0.0,0.0,109.71586009303805,83.9875
default_maize,2013,11,50/50,2013-07-30,77.0,913.9979999999998,1.346445022754028,0.9008396639386691,1348.945985244892,0.45710582437302555,0.25428456486310486,5.035820579902348,0.0,0.0,65.14568947296497,83.68
default_maize,2013,11,50/50,2013-08-02,80.0,955.1329999999998,1.3817827743792324,0.9008396639386691,1444.6053893163341,0.6948797358130848,0.2887418404786356,5.67092462719808,0.0,30.4,50.64165157671877,84.53
default_maize,2013,11,50/50,2013-08-13,91.0,1089.558,1.5087546414640296,0.9008396639386691,1781.343484397796,2.479035804174975,0.19825496833040768,3.6321887340934453,0.0,0.0,31.56118123740557,83.67
