variant,Year,Trt_code,Date,z_model,z_USDA,SWD_modelroot,SWD_USDAroot,Canopy_AC,Es,Tr
effective100,2012,5,2012-06-11,0.15306151760846254,,11.086035512366765,,0.7093641958565491,1.3446231559736586,0.0
effective100,2012,5,2012-06-12,0.15306151760846254,,12.053001143667881,,0.7007979382298635,0.9665972890658309,0.0
effective100,2012,5,2012-06-13,0.15306151760846254,0.54,13.01420498477938,62.36545818605487,0.6906496728545747,0.9611046417115224,0.0
effective100,2012,5,2012-06-14,0.15306151760846254,,0.3317227793513773,,0.8130175609249899,8.207663374607876,0.10982770394395616
effective100,2012,5,2012-06-15,0.16198576998556147,0.58,4.8790291519390845,62.769143991271314,0.9570663396398966,4.693739262111114,0.10756036142223296
effective100,2012,5,2012-06-16,0.17086333489881655,,7.347143661489619,,1.0892734774365662,2.3838904649346535,0.11885116691661242
effective100,2012,5,2012-06-17,0.1796954862132799,,9.27035122552295,,1.158209856251905,1.8249259903210466,0.1101499995372526
effective100,2012,5,2012-06-18,0.1884137657541165,0.64,13.52899553249998,83.63026476123338,1.1554044221098978,4.492679462484988,0.0
effective100,2012,5,2012-06-19,0.1884137657541165,,-6.959494047481163,,1.3601166004512566,9.520591532242273,0.21491888777662066
effective100,2012,5,2012-06-20,0.19711672387251933,0.68,-0.2929795007993965,73.76243044913636,1.6010992613693888,2.548133462002008,0.157345671680223
effective100,2012,5,2012-06-21,0.2057787879528703,,3.3986359972917457,,1.8810765325795458,2.4933555989751657,0.2908839397269813
effective100,2012,5,2012-06-22,0.21440096243321904,,7.94234806024912,,2.196468763097212,4.546393535904939,0.2502997876700841
effective100,2012,5,2012-06-23,0.22298420790792006,,10.928447213868884,,2.3745496896763902,2.7038774274902395,0.2781983303387795
effective100,2012,5,2012-06-24,0.23147817953563923,0.76,12.763655427375516,101.48108718838773,2.3685165672083506,1.6360041827000713,0.19729166804139545
effective100,2012,5,2012-06-25,0.23972202430348374,,-8.642284062985542,,2.788165459520363,9.067603899647892,0.4257190281590848
effective100,2012,5,2012-06-26,0.24819384739116765,0.8,-0.6516690758829929,91.37290668774138,3.282166879172416,2.95168136988214,0.4316390674626102
effective100,2012,5,2012-06-27,0.2566301966604597,,4.892348615345928,,3.863694453983218,3.949084169133091,0.36345829855900624
effective100,2012,5,2012-06-28,0.2650318502348029,0.84,8.10687915169161,106.05116890838507,4.48483740910926,2.320177415523862,0.490267923843972
effective100,2012,5,2012-06-29,0.27339955584175735,,-16.197741020014778,,5.279451673999315,6.383087805016989,0.5841987091936737
effective100,2012,5,2012-06-30,0.28173403250310136,,-0.21910166752935534,,6.214854059476368,5.526303100657934,0.6832839771072449
effective100,2012,5,2012-07-01,0.2900359721039444,,6.403789823995094,,7.278449015029917,2.783668950117073,0.9636240802427957
